Age,Height
39,72
40,63
32,61
30,62
68,67
38,67
52,69
31,66
58,68
46,66
45,58
42,64
36,62
33,72
42,68
40,73
41,61
42,65
33,60
53,56
39,68
16,62
44,65
30,65
28,59
46,70
34,65
59,65
38,66
49,70
36,66
45,69
44,66
25,67
28,60
21,60
31,66
42,65
38,63
34,72
21,65
45,66
45,66
47,78
25,71
62,65
39,65
37,73
46,64
56,69
33,65
27,63
47,65
37,63
34,67
49,66
50,67
29,69
47,63
42,66
45,65
16,62
35,58
41,72
37,66
24,62
30,61
35,76
31,63
39,69
20,62
49,61
32,65
33,63
34,68
34,64
68,74
40,68
34,68
54,67
44,66
57,61
34,67
33,63
32,61
26,63
46,65
34,70
43,69
59,72
34,70
33,73
29,67
58,67
41,68
33,73
54,62
27,69
50,69
40,66
43,65
40,65
45,60
49,65
35,67
37,62
22,59
40,66
64,70
48,63
34,66
46,68
36,67
35,72
33,64
44,71
50,64
41,66
34,67
29,66
47,63
31,62
26,62
47,66
28,69
36,68
41,66
41,63
38,62
59,68
46,68
23,65
55,73
59,74
35,68
37,68
34,66
34,71
20,68
32,65
26,72
33,64
52,64
55,64
41,63
35,67
27,62
41,70
47,67
25,67
32,69
39,66
59,65
39,68
38,68
44,72
55,68
31,69
32,69
25,68
57,66
52,73
35,55
41,73
40,65
46,63
42,61
44,65
42,62
44,68
39,57
34,64
33,63
40,68
35,66
40,65
31,65
36,73
38,72
39,62
49,60
35,66
33,69
31,71
46,63
26,70
28,69
67,70
52,64
37,60
43,68
38,68
40,59
69,70
45,63
55,66
57,65
51,70
36,65
37,63
38,70
46,63
27,64
52,64
37,63
45,63
32,79
20,63
35,71
33,76
55,71
34,58
22,63
30,62
53,73
54,65
35,69
31,65
27,59
36,66
30,68
49,63
37,65
36,65
35,64
43,69
62,66
34,68
23,62
29,64
37,68
42,63
40,65
44,70
47,68
36,67
63,68
31,72
46,60
34,57
62,72
27,70
33,64
44,67
40,64
48,73
48,61
46,65
36,68
60,68
37,64
54,70
28,68
42,72
33,64
30,61
50,69
25,64
40,66
32,67
26,73
44,59
68,64
29,76
31,67
48,68
36,69
45,63
24,59
53,70
33,69
48,66
26,71
44,68
56,71
23,66
45,64
42,73
46,63
29,66
39,69
33,59
28,70
45,72
51,60
30,68
46,63
30,64
38,69
37,58
36,65
15,64
57,71
42,64
36,67
35,59
43,71
65,73
36,71
62,69
64,70
37,63
33,61
46,67
26,66
30,63
34,61
28,66
40,69
44,65
49,69
36,65
46,71
38,65
37,67
50,69
69,60
38,69
49,64
55,66
33,68
56,69
35,67
47,61
34,66
45,67
45,65
37,69
23,69
37,63
60,73
29,65
42,61
58,66
55,67
35,61
28,66
38,65
41,67
51,63
25,63
35,66
31,61
39,62
36,67
56,70
43,67
47,61
55,61
21,66
33,65
31,64
22,65
19,66
27,64
40,69
39,61
59,70
54,57
29,66
40,70
31,69
33,64
33,68
22,60
40,65
34,65
33,65
35,66
26,68
62,74
34,71
36,66
50,72
52,67
43,65
51,64
31,58
43,67
43,77
47,66
23,67
62,68
47,69
51,65
50,66
43,67
28,65
36,71
66,72
26,66
47,67
35,69
52,62
28,73
43,61
51,67
38,68
42,71
36,63
40,67
54,66
36,67
41,64
47,62
37,69
39,65
52,64
33,64
44,64
41,71
32,68
24,68
49,68
61,67
27,66
44,64
34,65
50,74
52,63
28,64
64,68
45,65
41,67
41,61
45,66
41,60
40,77
45,62
34,63
51,68
31,68
31,71
27,62
37,63
34,69
38,64
41,61
49,63
60,71
37,68
38,58
32,68
64,70
36,66
61,67
44,65
39,62
38,64
58,58
27,67
65,62
36,69
64,65
55,71
28,63
45,68
16,68
46,63
29,73
37,67
45,57
24,71
36,66
27,64
41,63
33,65
40,71
26,66
36,68
36,62
23,64
56,66
43,68
36,64
51,65
27,68
43,66
37,72
46,68
31,68
31,60
35,67
53,66
42,62
50,64
36,69
39,67
39,69
53,63
30,63
30,61
37,64
69,64
34,67
34,61
33,67
32,65
31,63
32,56
25,64
48,64
32,68
40,64
19,67
31,69
46,64
36,60
29,72
53,67
28,64
40,63
57,68
61,64
30,76
42,59
32,65
35,70
34,65
46,70
22,61
42,62
43,72
32,60
50,67
49,69
48,69
41,71
29,66
52,72
34,73
32,62
28,69
42,60
35,68
35,65
46,61
37,63
40,75
34,64
31,62
25,64
30,64
21,59
43,70
41,66
28,66
43,67
28,72
53,67
32,63
43,73
34,68
35,66
42,66
27,65
35,66
29,66
38,62
44,64
42,66
55,71
35,72
35,69
33,55
63,69
26,71
33,63
32,65
37,68
31,70
25,70
45,61
37,68
22,68
37,71
34,69
31,66
37,67
47,64
35,69
30,65
32,58
43,63
45,71
29,59
29,68
25,69
35,65
41,64
53,64
29,72
29,77
56,68
47,63
25,68
39,66
63,68
50,70
37,63
27,68
50,69
25,62
40,64
29,69
38,64
35,64
27,68
40,67
44,62
30,65
39,66
32,70
31,68
67,70
44,61
55,74
38,68
27,64
22,69
34,64
55,64
43,64
43,62
19,61
44,68
40,64
34,60
24,67
41,65
37,69
21,67
65,64
37,71
41,66
42,70
28,63
33,72
32,68
43,60
55,61
35,65
54,71
31,61
28,67
43,63
35,64
58,66
44,64
50,61
42,68
68,64
23,65
35,68
30,62
29,67
46,71
36,66
26,66
33,65
30,65
37,64
43,69
35,70
47,64
26,63
39,71
38,68
48,67
43,73
50,66
35,60
41,65
32,66
34,68
57,68
48,67
23,67
70,64
46,64
57,66
59,63
31,69
38,70
67,68
31,61
39,68
26,69
41,68
49,67
29,61
40,63
40,61
49,59
33,67
54,63
52,66
29,67
58,69
28,66
41,65
44,71
29,70
44,68
45,60
47,55
30,66
28,69
50,66
39,65
45,71
32,68
31,66
36,72
48,68
42,65
49,65
16,61
34,65
35,64
43,61
41,64
54,69
35,68
43,70
54,64
41,67
31,63
59,65
32,63
34,60
54,64
27,67
32,69
33,65
34,72
35,66
58,60
66,70
31,66
34,59
31,64
35,58
54,65
39,61
29,70
29,71
32,69
31,64
59,69
62,66
35,65
30,60
35,68
31,60
24,68
28,62
39,70
44,63
37,69
62,65
30,65
23,69
36,64
37,71
45,69
47,59
26,74
46,63
27,68
31,64
32,62
51,70
47,68
39,73
47,65
48,64
33,65
36,71
29,66
56,62
35,70
55,66
32,68
34,70
45,67
25,69
47,71
28,66
34,67
36,64
53,61
27,63
51,67
35,62
35,70
48,68
31,70
28,69
48,65
54,63
32,63
23,63
23,66
27,69
44,72
31,67
45,60
50,73
31,65
29,60
32,65
60,66
39,69
31,66
33,64
48,66
46,64
32,66
45,70
32,61
52,60
31,61
38,70
37,65
57,63
56,65
34,64
41,67
60,65
19,64
36,64
44,69
38,75
28,64
21,72
48,57
32,59
39,61
21,67
47,68
40,68
19,57
31,68
38,62
48,72
50,66
24,64
32,72
33,66
49,71
29,68
48,68
18,66
39,64
42,63
50,69
37,67
51,64
34,66
36,59
51,69
29,65
37,62
51,66
27,68
44,71
35,67
68,77
22,64
31,67
26,67
35,74
21,71
45,70
26,65
26,68
44,63
41,68
54,68
32,68
53,69
28,71
30,66
37,66
37,64
39,65
49,64
37,60
47,67
32,66
34,67
38,69
54,63
36,70
57,61
30,67
52,66
36,67
42,65
23,64
30,68
35,68
35,67
35,63
43,66
41,69
39,69
40,69
22,68
67,69
33,60
44,68
24,66
40,66
37,67
28,63
36,65
33,59
42,69
21,67
39,66
42,66
32,64
36,66
62,74
58,65
21,65
51,65
54,69
39,61
44,68
44,60
40,65
62,64
46,66
27,61
59,64
22,64
24,64
34,70
21,66
46,62
48,66
27,65
18,70
41,63
35,64
33,65
46,66
39,74
53,70
33,69
39,71
54,73
39,60
60,73
34,65
40,66
53,63
31,61
44,69
34,66
64,72
45,62
52,67
22,74
49,63
39,71
46,68
38,58
35,67
38,62
24,64
45,61
35,64
55,72
56,70
39,66
32,66
49,70
60,67
54,59
32,65
34,68
41,64
37,62
44,69
46,64
31,62
33,69
30,59
58,68
26,65
46,70
39,71
48,72
53,74
36,65
37,68
59,71
32,67
51,62
21,67
43,72
31,68
33,67
37,69
53,71
47,71
68,71
42,69
33,65
37,67
34,67
24,65
31,68
52,70
33,62
28,59
25,69
28,68
52,66
39,63
51,61
39,71
55,60
48,63
49,72
34,66
32,72
37,63
38,67
22,59
36,65
50,63
61,65
30,61
17,62
40,67
49,66
41,69
35,70
40,59
43,62
37,63
51,64
42,68
46,67
31,68
44,66
29,71
42,61
57,62
37,68
23,68
29,63
45,72
29,57
16,67
39,64
42,64
28,60
29,61
49,73
58,66
46,71
42,59
62,72
47,64
38,67
51,62
55,68
54,64
40,61
59,67
33,66
44,66
32,61
31,66
22,63
42,64
68,69
38,70
30,64
39,65
28,64
40,71
34,66
36,68
46,65
28,62
55,66
57,65
37,59
35,58
38,65
22,63
31,64
43,68
57,69
39,70
36,57
38,66
38,70
40,68
43,69
49,71
39,65
24,68
44,62
35,68
37,64
35,67
47,61
60,66
35,76
29,67
36,63
60,66
46,66
41,66
52,69
26,60
22,68
33,57
41,72
54,65
53,69
44,76
25,63
35,65
38,57
49,63
34,62
34,65
41,59
28,66
23,71
25,66
32,67
47,64
54,67
43,61
35,68
48,69
58,68
30,69
36,69
35,69
60,68
33,71
44,66
32,65
30,60
56,71
26,65
25,70
26,63
38,70
32,67
33,68
48,65
52,65
32,65
57,68
22,64
28,60
52,65
60,68
34,66
48,65
35,63
37,64
36,67
35,77
39,69
57,60
26,67
28,67
27,65
18,63
28,60
39,65
37,67
41,68
59,68
63,70
34,67
51,61
27,60
41,63
42,66
54,75
43,64
43,65
58,66
40,68
45,66
44,69
39,66
41,65
48,60
31,64
38,63
33,67
20,66
24,71
42,71
38,68
46,59
29,64
21,68
47,54
35,69
56,64
58,72
39,69
52,68
41,71
29,69
22,65
30,73
35,69
40,65
38,76
32,61
45,58
36,68
39,66
52,69
38,64
31,68
37,70
33,68
42,64
62,68
39,62
51,64
26,66
46,68
50,70
39,65
26,71
42,66
43,59
41,71
40,66
39,66
38,67
30,68
24,64
44,73
45,70
30,65
38,65
47,70
36,65
19,60
54,65
50,68
37,66
43,65
44,75
26,65
33,63
34,65
66,70
34,67
36,67
36,67
35,73
57,71
57,64
40,62
31,67
53,62
42,63
51,69
44,62
37,64
33,61
43,71
47,61
26,64
45,64
47,66
54,69
47,69
30,68
55,67
54,68
47,75
45,69
46,71
42,64
26,62
28,69
24,66
21,62
23,63
54,66
46,71
44,73
32,64
31,68
25,68
44,63
41,72
49,66
22,65
45,72
46,63
39,62
50,74
40,70
51,67
34,66
23,71
43,62
47,67
39,63
64,61
54,70
36,65
41,71
32,68
40,67
41,68
35,60
33,66
37,64
33,66
44,63
53,61
51,74
56,66
35,65
38,58
52,64
56,63
31,65
35,68
66,79
45,67
50,67
50,65
42,65
45,68
50,67
28,64
31,64
39,69
36,72
31,64
24,67
42,60
30,61
54,68
36,69
66,70
44,66
49,65
62,69
34,67
33,58
43,60
43,65
49,67
45,70
30,74
32,75
52,67
32,61
33,66
43,68
41,63
40,69
26,67
22,71
20,66
29,61
41,68
29,61
38,68
32,70
39,64
51,63
46,65
32,60
37,60
47,69
47,69
33,67
47,56
55,64
57,75
43,66
35,66
38,73
54,61
42,68
59,66
36,64
48,66
40,62
66,73
31,68
28,62
36,70
33,63
28,70
39,61
34,63
30,63
40,65
35,72
38,67
47,74
59,69
40,64
33,65
39,70
24,62
65,67
25,66
45,66
44,63
44,62
48,63
48,64
24,72
32,73
24,67
50,66
34,71
45,64
48,67
46,61
27,63
49,68
32,61
25,60
29,65
28,62
44,62
28,66
51,58
38,70
55,64
34,72
42,67
31,63
43,70
39,67
36,61
30,64
49,65
39,62
29,57
40,65
25,64
28,72
47,66
30,67
34,66
35,66
53,64
41,67
63,67
25,62
46,68
38,69
25,69
33,66
42,67
50,68
41,63
34,60
41,71
36,64
45,68
40,60
41,67
30,70
43,65
37,65
45,65
49,66
36,66
49,68
46,65
24,61
54,66
37,69
54,66
34,64
49,73
63,67
56,68
32,69
38,62
45,70
22,70
35,58
35,65
24,63
53,67
55,63
53,74
36,61
34,67
40,68
34,67
24,64
32,64
27,64
60,57
32,65
46,65
38,70
50,69
27,67
57,64
30,68
62,71
56,60
39,62
43,64
42,65
35,64
36,67
32,64
44,65
57,67
50,63
47,65
36,63
38,66
27,65
48,69
47,66
35,68
36,62
36,71
38,57
38,62
31,60
34,62
57,63
40,63
28,70
43,68
55,66
32,69
38,67
40,69
34,63
47,65
41,65
38,67
32,67
37,61
27,67
42,59
28,65
37,74
29,70
43,55
52,68
37,66
37,68
51,72
39,64
55,61
44,69
40,69
60,71
21,67
35,64
33,63
56,62
34,67
34,62
50,59
54,63
35,66
40,64
35,68
34,63
42,68
44,66
44,63
32,72
50,60
35,68
49,68
45,67
25,66
29,70
36,65
44,61
41,68
40,60
40,61
25,67
27,66
19,66
39,63
34,65
60,71
26,68
40,74
32,63
38,62
48,72
26,69
46,62
55,60
15,67
40,59
36,68
48,63
32,74
34,61
42,60
40,62
34,67
42,67
34,65
61,72
51,70
27,67
31,66
67,71
39,67
46,65
16,64
66,71
50,61
55,65
43,62
40,64
38,65
19,66
44,68
24,68
44,66
32,69
54,70
40,69
44,68
46,61
35,55
30,67
59,68
37,63
28,60
59,70
41,65
46,65
40,68
31,61
67,68
61,65
54,66
47,68
27,70
54,63
45,65
38,58
30,65
41,69
52,58
35,73
48,65
32,62
35,63
54,67
60,66
57,63
29,66
23,71
43,68
51,75
40,65
26,70
29,65
26,72
45,66
58,69
28,73
36,71
23,69
37,70
57,67
47,67
39,67
23,68
41,73
36,66
51,69
45,71
47,64
25,71
35,70
28,63
51,62
37,67
29,65
51,75
35,70
64,68
24,67
44,65
39,70
31,59
53,64
26,66
27,65
41,68
32,69
32,57
49,69
30,61
53,58
21,69
32,71
23,66
34,66
30,66
29,70
33,62
24,70
46,71
55,65
40,69
31,68
26,68
34,71
50,64
35,67
56,61
25,66
30,71
56,69
59,65
50,66
27,66
35,62
43,59
42,60
42,68
49,65
59,66
49,61
39,63
62,70
34,68
33,67
49,72
39,69
55,77
37,68
52,69
45,67
50,65
28,66
55,69
40,63
39,64
28,66
53,63
43,62
51,65
45,65
27,69
30,64
53,67
52,70
56,69
32,63
43,63
28,70
37,69
32,65
51,71
46,60
25,62
47,67
35,65
34,70
52,70
35,63
39,63
32,65
42,72
57,65
44,60
42,71
39,67
59,68
28,62
41,70
30,70
27,76
37,74
43,75
44,67
28,65
32,60
19,67
51,66
34,69
35,63
37,63
63,68
32,65
46,72
21,66
56,63
22,63
45,58
31,70
39,61
58,72
45,68
40,67
40,66
35,72
63,67
28,66
24,65
28,65
60,70
41,72
46,63
42,64
35,71
33,65
55,66
44,64
59,66
36,61
57,69
47,62
46,68
39,69
29,63
28,63
44,64
32,68
39,55
33,67
31,66
33,64
40,66
37,66
40,66
33,64
45,68
52,70
21,64
36,68
42,68
30,69
39,70
47,71
45,63
39,69
34,65
29,68
44,66
55,67
24,65
43,67
38,65
43,66
55,69
32,70
38,61
40,60
43,64
28,67
42,60
50,66
46,65
33,67
43,74
37,65
35,71
51,66
56,66
42,70
34,58
31,68
30,71
27,72
41,60
33,65
34,67
36,57
38,69
35,68
33,60
31,65
50,69
47,66
34,55
29,65
40,68
36,63
27,63
32,65
50,64
31,64
32,65
22,61
56,60
44,64
44,62
34,66
42,65
42,68
46,67
22,65
37,62
55,67
41,69
60,63
22,67
29,68
37,73
60,69
46,62
38,74
19,63
23,69
46,69
45,65
38,61
26,65
28,72
52,68
33,63
49,62
36,72
34,62
53,59
51,69
30,68
65,66
36,68
43,64
49,62
31,61
41,61
34,68
38,67
20,69
49,72
49,65
50,69
39,64
54,65
30,65
32,62
34,70
30,72
23,65
30,68
40,63
32,68
45,70
20,70
32,65
26,69
34,67
37,69
51,71
28,67
21,67
31,73
52,64
31,65
46,65
31,68
33,63
26,58
33,66
39,63
37,72
20,66
43,68
30,66
34,66
22,69
29,71
51,67
38,65
43,65
55,63
50,67
51,71
20,65
48,69
43,67
49,59
29,68
36,61
